date,rets,rv,bv
2014-03-05,9.975523401904397e-6,1.1816251108237533e-5,1.4727625404964017e-5
2014-03-06,5.294877707487907e-6,2.1291693702364506e-5,1.1464469550770437e-5
2014-03-07,1.7633273026220527e-5,2.7943629732141602e-5,2.6816270242883768e-5
2014-03-10,1.2748762267065072e-5,2.2010725314864912e-5,1.453385512276779e-5
2014-03-11,1.5475129110262852e-5,2.3720971226525653e-5,2.4551981882227047e-5
2014-03-12,2.9693196642513398e-5,3.904564005053062e-5,3.4060731797272176e-5
2014-03-13,3.476110447067816e-5,5.189916232786634e-5,4.8075079656663064e-5
2014-03-14,2.2300400969860318e-5,4.4823426834247317e-5,4.913035414145114e-5
2014-03-17,9.181387727401682e-6,8.489139113895869e-5,4.179122126474704e-5
2014-03-18,6.524862786827915e-6,2.3262438513667864e-5,2.248672867925133e-5
2014-03-19,4.689090795534083e-5,7.566331005869795e-5,2.9611850170622333e-5
2014-03-20,9.640599838114252e-6,3.108475927774854e-5,2.351658797548455e-5
2014-03-21,2.0315168715594224e-5,4.644747526985736e-5,3.762586510963557e-5
2014-03-24,2.921870626381148e-5,4.239680924411726e-5,4.635978965000864e-5
2014-03-25,1.3610164055030194e-5,4.70214507495693e-5,3.107705109137041e-5
2014-03-26,2.142721376003993e-5,4.994641585290062e-5,2.811249868344302e-5
2014-03-27,3.432070583178586e-5,6.81139288393934e-5,7.018280274843085e-5
2014-03-28,1.005556256229067e-5,5.44423210970027e-5,3.077786050403056e-5
2014-03-31,8.438687617358804e-6,6.088959598057708e-5,2.4173243030642225e-5
2014-04-01,5.565031082199898e-6,1.7511971355323154e-5,1.3102191238043489e-5
2014-04-02,6.801594369787026e-6,1.640016129398738e-5,1.2729353889012793e-5
2014-04-03,8.008040536120406e-6,1.4871944472819007e-5,1.2696870604024712e-5
2014-04-04,3.6764128725943495e-5,7.136362234255461e-5,5.353849887077813e-5
2014-04-07,3.220499074035767e-5,5.997230785886937e-5,5.51169380067854e-5
2014-04-08,1.698827285425648e-5,4.89663477626643e-5,4.002391149306137e-5
2014-04-09,6.248671598329683e-6,3.428304570361805e-5,2.4554876398649147e-5
2014-04-10,5.3918029630204135e-5,9.007866674500757e-5,7.081055509343482e-5
2014-04-11,6.178744658907556e-5,8.151694225559179e-5,8.439800933728702e-5
2014-04-14,2.0798181507752187e-5,7.603661036283837e-5,4.260700124910871e-5
2014-04-15,3.44509419416056e-5,9.319055431486284e-5,8.663460293083782e-5
2014-04-16,1.4074155064631955e-5,3.3515103405515616e-5,3.083617201297135e-5
2014-04-17,1.0860239615540591e-5,1.6860450956357476e-5,2.219204476980835e-5
2014-04-21,4.646650493639422e-6,1.4371460776870742e-5,1.06728411533816e-5
2014-04-22,3.996808209312706e-6,9.954634665451458e-6,9.760130523451954e-6
2014-04-23,8.11456968614471e-6,1.153078335058338e-5,1.0755621157972663e-5
2014-04-24,2.0649321133450183e-5,4.718290652661028e-5,4.275198169699982e-5
2014-04-25,2.291656312231007e-5,3.4945995125677145e-5,2.852769575664342e-5
2014-04-28,3.1030061601684256e-5,6.940091994033224e-5,7.122947719820947e-5
2014-04-29,7.783464806984939e-6,2.3867730803396318e-5,1.6561539008100173e-5
2014-04-30,1.0308421593588035e-5,1.4517220345659326e-5,2.750661159329549e-5
2014-05-01,1.0374377585594055e-5,2.2794561852652994e-5,2.2589168576911216e-5
2014-05-02,1.7645911469244455e-5,4.0450731193548316e-5,2.996601804447538e-5
2014-05-05,3.831398671545641e-5,5.4261120738748244e-5,1.8523433326548406e-5
2014-05-06,1.9359629319593526e-5,2.8752298911745587e-5,2.2426631769782656e-5
2014-05-07,3.7384412378961836e-5,5.1411080558816426e-5,7.491637470585312e-5
2014-05-08,1.2694811350453188e-5,2.605947381263344e-5,2.910730681972554e-5
2014-05-09,1.510101989797693e-5,2.8778055156331133e-5,3.085097292055099e-5
2014-05-12,2.287193058797071e-6,2.3338065893567992e-5,6.996895789086038e-6
2014-05-13,5.048915644754165e-6,9.788884768340693e-6,8.903970640675665e-6
2014-05-14,1.0716002058222128e-5,1.7707401123069786e-5,1.2708303202222882e-5
2014-05-15,3.1530491894409995e-5,5.9562208034520325e-5,4.9444450054595204e-5
2014-05-16,9.791619583118128e-6,2.819357224940939e-5,2.089273001699656e-5
2014-05-19,4.01718706139094e-6,9.316748757575704e-6,9.672159035773567e-6
2014-05-20,1.663143014807776e-5,2.9359176742979855e-5,2.0109222926441945e-5
2014-05-21,5.130818301787385e-6,2.8420443501745696e-5,2.0336147055603033e-5
2014-05-22,3.202814911795297e-6,1.0623233985001826e-5,9.229275415956903e-6
2014-05-23,1.1676087642304777e-6,2.431938369809606e-6,4.169197886587045e-6
2014-05-27,2.906903787161741e-6,1.346984833468561e-5,1.068433062598266e-5
2014-05-28,4.602488374651114e-6,9.838910071722219e-6,9.42743709484627e-6
2014-05-29,3.114049650605471e-6,1.2177902523317556e-5,7.189357608227499e-6
2014-05-30,4.721686327447141e-6,9.424504568024406e-6,6.429648493237278e-6
2014-06-02,7.722419973967956e-6,1.788246066225607e-5,1.755051946357112e-5
2014-06-03,5.330594731297063e-6,5.962099647800857e-6,7.712543287979705e-6
2014-06-04,3.638777213704619e-6,6.335588557001219e-6,7.499655401874777e-6
2014-06-05,5.032036721859773e-6,1.5656658639920748e-5,1.4135522897555788e-5
2014-06-06,1.8213150946263977e-6,7.989118883101679e-6,6.678664819814593e-6
2014-06-09,3.6541286414458874e-6,7.495919651924706e-6,6.51677568828942e-6
2014-06-10,4.4583192644821665e-6,9.208519230173569e-6,1.0130927041836897e-5
2014-06-11,1.2953399482791591e-5,1.3683676276522925e-5,1.0072743587017792e-5
2014-06-12,1.1684985632415828e-5,1.901318555409292e-5,1.5906913282216203e-5
2014-06-13,7.179213521297506e-6,1.9854928089618795e-5,1.7684871321290532e-5
2014-06-16,8.336105672504915e-6,1.695864230105825e-5,1.4384988137465118e-5
2014-06-17,6.7708841650098306e-6,1.5278402045571404e-5,1.2653562146729611e-5
2014-06-18,4.86593282014429e-6,1.585587273769151e-5,1.5252070193374654e-5
2014-06-19,4.393224982229275e-6,7.573620234814183e-6,8.289585445577044e-6
2014-06-20,2.173491977746955e-6,4.22315948051273e-6,5.100923037425321e-6
2014-06-23,4.067471298810198e-6,4.761518880083334e-6,5.448782039648277e-6
2014-06-24,1.1552470623255643e-5,2.5129125568096397e-5,1.909029889003614e-5
2014-06-25,4.999781764144541e-6,1.1010331148582246e-5,1.4574531429520891e-5
2014-06-26,1.5988575051951187e-5,3.3213803520265924e-5,1.8711307789184213e-5
2014-06-27,6.114064282950696e-6,1.2303684783881664e-5,9.516402954284179e-6
2014-06-30,3.629632745059432e-6,6.881102348576032e-6,7.055392019786936e-6
2014-07-01,3.204606482616522e-6,1.4189693067906004e-5,8.068987535493966e-6
2014-07-02,3.6117442500933785e-6,3.7376054725659666e-6,5.832307367456801e-6
2014-07-03,1.1921538000108216e-6,8.607884353274807e-6,3.899484258576179e-6
2014-07-07,9.959990345495615e-6,1.2499324156071795e-5,7.5500175108403066e-6
2014-07-08,2.251925333340785e-5,2.9720525803486346e-5,2.4284850543140126e-5
2014-07-09,6.1086085036336165e-6,2.5871512010106147e-5,1.3431386339027205e-5
2014-07-10,4.546130051747846e-5,4.738487135368698e-5,2.524905478915842e-5
2014-07-11,5.994282659957351e-6,1.4885494607140234e-5,1.1534663878913508e-5
2014-07-14,1.9134968951381242e-6,1.5197095910911165e-5,4.925833309770118e-6
2014-07-15,1.7350539546119413e-5,3.276530323063072e-5,2.597119607144642e-5
2014-07-16,4.901800455592605e-6,1.6669449569773664e-5,9.561782941636349e-6
2014-07-17,2.897536989252696e-5,3.4096301182587205e-5,3.6477237462224366e-5
2014-07-18,2.743594217716721e-6,1.9933721469469593e-5,9.436538191111657e-6
2014-07-21,1.0945505683921101e-5,2.3956513881726823e-5,1.3695516739341605e-5
2014-07-22,2.343565733669457e-6,1.3767033873824073e-5,6.108383547880875e-6
2014-07-23,2.809994126806945e-6,5.171850251169916e-6,6.469558463470306e-6
2014-07-24,3.704350092099689e-6,7.836259787276958e-6,7.207859392928738e-6
2014-07-25,1.2842473033345426e-5,1.3402592342734444e-5,1.4688261593375263e-5
2014-07-28,1.1096601690881313e-5,2.4582146619102377e-5,1.7261034642020534e-5
2014-07-29,1.3804683061935646e-5,2.187211625455009e-5,1.7643355306284327e-5
2014-07-30,1.6159289873099522e-5,3.20550773454153e-5,3.2186965765787186e-5
